"","spp","dbh","cr","logs","best_log","worst_log","butt_log","veneer_present","saw_present","quality_score","site","drate","price_factor","crop"
"1","BC",4,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"2","BM",4,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"3","PB",4,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"4","RM",4,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"5","SO",4,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"6","WO",4,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"7","YB",4,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"8","BC",7,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"9","BM",7,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"10","PB",7,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"11","RM",7,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"12","SO",7,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"13","WO",7,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"14","YB",7,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"15","BC",10,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"16","BM",10,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"17","PB",10,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"18","RM",10,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"19","SO",10,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"20","WO",10,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"21","YB",10,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"22","BC",13,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
