spp,site,n_obs,crop_rate,mean_dbh,mean_cr,mean_quality
BC,clayplain,504,0,13,45,2.263888888888889
BC,granitictill,504,0,13,45,2.263888888888889
BC,lowlandspfr,504,0,13,45,2.263888888888889
BC,mountaintill,504,0,13,45,2.263888888888889
BC,richnhw,504,0,13,45,2.263888888888889
BM,clayplain,504,0.21626984126984128,13,45,2.263888888888889
BM,granitictill,504,0.17063492063492064,13,45,2.263888888888889
BM,lowlandspfr,504,0.09325396825396826,13,45,2.263888888888889
BM,mountaintill,504,0.18452380952380953,13,45,2.263888888888889
BM,richnhw,504,0.14682539682539683,13,45,2.263888888888889
PB,clayplain,504,0.06349206349206349,13,45,2.263888888888889
PB,granitictill,504,0.07142857142857142,13,45,2.263888888888889
PB,lowlandspfr,504,0.07142857142857142,13,45,2.263888888888889
PB,mountaintill,504,0.06746031746031746,13,45,2.263888888888889
PB,richnhw,504,0.05555555555555555,13,45,2.263888888888889
RM,clayplain,504,0.1984126984126984,13,45,2.263888888888889
RM,granitictill,504,0.14484126984126985,13,45,2.263888888888889
RM,lowlandspfr,504,0.0992063492063492,13,45,2.263888888888889
RM,mountaintill,504,0.1130952380952381,13,45,2.263888888888889
RM,richnhw,504,0.12896825396825398,13,45,2.263888888888889
SO,clayplain,504,0.23809523809523808,13,45,2.263888888888889
SO,granitictill,504,0.22420634920634921,13,45,2.263888888888889
SO,lowlandspfr,504,0.0992063492063492,13,45,2.263888888888889
SO,mountaintill,504,0.15476190476190477,13,45,2.263888888888889
SO,richnhw,504,0.16865079365079366,13,45,2.263888888888889
WO,clayplain,504,0.3948412698412698,13,45,2.263888888888889
WO,granitictill,504,0.37103174603174605,13,45,2.263888888888889
WO,lowlandspfr,504,0.2638888888888889,13,45,2.263888888888889
WO,mountaintill,504,0.2976190476190476,13,45,2.263888888888889
WO,richnhw,504,0.2976190476190476,13,45,2.263888888888889
YB,clayplain,504,0.6011904761904762,13,45,2.263888888888889
YB,granitictill,504,0.5238095238095238,13,45,2.263888888888889
YB,lowlandspfr,504,0.4146825396825397,13,45,2.263888888888889
YB,mountaintill,504,0.49404761904761907,13,45,2.263888888888889
YB,richnhw,504,0.5436507936507936,13,45,2.263888888888889
