spp,site,n_obs,crop_rate,mean_dbh,mean_cr,mean_quality
BC,clayplain,504,0.22023809523809523,13,45,3.6666666666666665
BC,granitictill,504,0.24603174603174602,13,45,3.6666666666666665
BC,lowlandspfr,504,0.14682539682539683,13,45,3.6666666666666665
BC,richnhw,504,0.32341269841269843,13,45,3.6666666666666665
BF,clayplain,294,0.5544217687074829,13,45,2.5714285714285716
BF,granitictill,294,0.5374149659863946,13,45,2.5714285714285716
BF,lowlandspfr,294,0.3707482993197279,13,45,2.5714285714285716
BF,richnhw,294,0.6870748299319728,13,45,2.5714285714285716
BM,clayplain,504,0.4880952380952381,13,45,3.6666666666666665
BM,granitictill,504,0.498015873015873,13,45,3.6666666666666665
BM,lowlandspfr,504,0.21428571428571427,13,45,3.6666666666666665
BM,richnhw,504,0.5515873015873016,13,45,3.6666666666666665
EH,clayplain,294,0.6700680272108843,13,45,2.5714285714285716
EH,granitictill,294,0.6394557823129252,13,45,2.5714285714285716
EH,lowlandspfr,294,0.4897959183673469,13,45,2.5714285714285716
EH,richnhw,294,0.782312925170068,13,45,2.5714285714285716
PB,clayplain,504,0.42658730158730157,13,45,3.6666666666666665
PB,granitictill,504,0.47619047619047616,13,45,3.6666666666666665
PB,lowlandspfr,504,0.20238095238095238,13,45,3.6666666666666665
PB,richnhw,504,0.5138888888888888,13,45,3.6666666666666665
RM,clayplain,504,0.49603174603174605,13,45,3.6666666666666665
RM,granitictill,504,0.501984126984127,13,45,3.6666666666666665
RM,lowlandspfr,504,0.19444444444444445,13,45,3.6666666666666665
RM,richnhw,504,0.5654761904761905,13,45,3.6666666666666665
RS,clayplain,294,0.5068027210884354,13,45,2.5714285714285716
RS,granitictill,294,0.47278911564625853,13,45,2.5714285714285716
RS,lowlandspfr,294,0.336734693877551,13,45,2.5714285714285716
RS,richnhw,294,0.5986394557823129,13,45,2.5714285714285716
SO,clayplain,504,0.5,13,45,3.6666666666666665
SO,granitictill,504,0.5158730158730159,13,45,3.6666666666666665
SO,lowlandspfr,504,0.2261904761904762,13,45,3.6666666666666665
SO,richnhw,504,0.5595238095238095,13,45,3.6666666666666665
WO,clayplain,504,0.5734126984126984,13,45,3.6666666666666665
WO,granitictill,504,0.5773809523809523,13,45,3.6666666666666665
WO,lowlandspfr,504,0.3273809523809524,13,45,3.6666666666666665
WO,richnhw,504,0.6388888888888888,13,45,3.6666666666666665
WP,clayplain,294,0.5850340136054422,13,45,2.5714285714285716
WP,granitictill,294,0.5918367346938775,13,45,2.5714285714285716
WP,lowlandspfr,294,0.46598639455782315,13,45,2.5714285714285716
WP,richnhw,294,0.673469387755102,13,45,2.5714285714285716
YB,clayplain,504,0.7242063492063492,13,45,3.6666666666666665
YB,granitictill,504,0.6468253968253969,13,45,3.6666666666666665
YB,lowlandspfr,504,0.4444444444444444,13,45,3.6666666666666665
YB,richnhw,504,0.7579365079365079,13,45,3.6666666666666665
