"spp","site","drate","n_rules","dbh_max_overall","dbh_min_overall","cr_min_overall","grade_matters","veneer_dbh_max","sawlog_dbh_max","high_cr_dbh_max","low_cr_dbh_max","total_n","total_crop","weighted_accuracy"
"BM","clayplain",0.02,3,17.5,15.5,25,TRUE,NA,NA,17.5,12.5,304,282,0.927631578947368
"BM","clayplain",0.03,3,15.5,14.5,25,TRUE,NA,NA,15.5,11.5,236,220,0.932203389830508
"BM","clayplain",0.04,2,14.5,12.5,25,FALSE,NA,NA,14.5,NA,184,172,0.934782608695652
"BM","clayplain",0.05,3,14.5,13.5,25,TRUE,NA,NA,14.5,NA,164,151,0.920731707317073
"BM","clayplain",0.06,2,13.5,12.5,35,TRUE,NA,NA,13.5,NA,116,107,0.922413793103448
"BM","granitictill",0.02,3,16.5,NA,25,TRUE,NA,14.5,16.5,NA,232,218,0.939655172413793
"BM","granitictill",0.03,3,15.5,14.5,25,TRUE,NA,NA,15.5,NA,204,192,0.941176470588235
"BM","granitictill",0.04,3,14.5,13.5,25,TRUE,NA,NA,14.5,NA,164,154,0.939024390243902
"BM","granitictill",0.05,2,13.5,12.5,35,TRUE,NA,NA,13.5,NA,116,111,0.956896551724138
"BM","granitictill",0.06,1,12.5,NA,35,FALSE,NA,NA,12.5,NA,96,85,0.885416666666667
"BM","mountaintill",0.02,3,17.5,NA,25,TRUE,NA,15.5,17.5,NA,272,249,0.915441176470588
"BM","mountaintill",0.03,3,16.5,15.5,25,TRUE,NA,NA,16.5,NA,236,213,0.902542372881356
"BM","mountaintill",0.04,2,14.5,NA,25,FALSE,NA,NA,14.5,NA,176,158,0.897727272727273
"BM","mountaintill",0.05,2,14.5,13.5,35,TRUE,NA,NA,14.5,NA,148,138,0.932432432432432
"BM","mountaintill",0.06,2,13.5,12.5,35,TRUE,NA,NA,13.5,NA,116,102,0.879310344827586
"BM","richnhw",0.02,3,17.5,NA,25,TRUE,NA,15.5,17.5,NA,262,233,0.889312977099237
"BM","richnhw",0.03,2,16.5,NA,35,TRUE,NA,14.5,16.5,NA,200,186,0.93
"BM","richnhw",0.04,2,15.5,13.5,35,TRUE,NA,NA,15.5,NA,168,158,0.94047619047619
"BM","richnhw",0.05,2,14.5,13.5,35,TRUE,NA,NA,14.5,NA,148,139,0.939189189189189
"BM","richnhw",0.06,2,13.5,12.5,35,TRUE,NA,NA,13.5,NA,116,105,0.905172413793103
"PB","clayplain",0.02,3,16.5,NA,25,TRUE,NA,14.5,16.5,NA,225,201,0.893333333333333
"PB","clayplain",0.03,3,15.5,NA,25,TRUE,NA,14.5,15.5,NA,185,162,0.875675675675676
"PB","clayplain",0.04,2,14.5,NA,35,TRUE,NA,12.5,14.5,NA,127,116,0.913385826771654
"PB","clayplain",0.05,3,14.5,NA,35,TRUE,NA,11.5,14.5,NA,108,87,0.805555555555556
"PB","clayplain",0.06,2,14.5,11.5,45,TRUE,NA,NA,14.5,NA,60,49,0.816666666666667
"PB","granitictill",0.02,2,17.5,NA,35,TRUE,NA,14.5,17.5,NA,205,177,0.863414634146341
"PB","granitictill",0.03,2,16.5,NA,35,TRUE,NA,14.5,16.5,NA,185,152,0.821621621621622
"PB","granitictill",0.04,3,15.5,NA,35,TRUE,NA,13.5,15.5,NA,134,112,0.835820895522388
"PB","granitictill",0.05,1,14.5,NA,45,TRUE,NA,NA,14.5,NA,75,67,0.893333333333333
"PB","granitictill",0.06,1,14.5,NA,45,TRUE,NA,NA,14.5,NA,75,56,0.746666666666667
"PB","mountaintill",0.02,2,18.5,10.5,35,TRUE,NA,NA,18.5,NA,155,126,0.812903225806452
"PB","mountaintill",0.03,2,17.5,11.5,45,TRUE,NA,14.5,17.5,NA,147,112,0.761904761904762
"PB","mountaintill",0.04,1,15.5,NA,45,TRUE,NA,NA,15.5,NA,90,74,0.822222222222222
"PB","mountaintill",0.05,1,15.5,NA,45,TRUE,NA,NA,15.5,NA,90,70,0.777777777777778
"PB","mountaintill",0.06,1,14.5,NA,45,TRUE,NA,NA,14.5,NA,75,47,0.626666666666667
"PB","richnhw",0.02,2,18.5,10.5,35,TRUE,NA,NA,18.5,NA,160,130,0.8125
"PB","richnhw",0.03,2,16.5,11.5,35,TRUE,NA,NA,16.5,NA,130,104,0.8
"PB","richnhw",0.04,1,15.5,NA,45,TRUE,NA,NA,15.5,NA,90,74,0.822222222222222
"PB","richnhw",0.05,1,14.5,NA,45,TRUE,NA,NA,14.5,NA,75,63,0.84
"PB","richnhw",0.06,1,14.5,NA,45,TRUE,NA,NA,14.5,NA,75,53,0.706666666666667
"RM","clayplain",0.02,3,20.5,17.5,35,TRUE,NA,14.5,20.5,NA,390,353,0.905128205128205
"RM","clayplain",0.03,3,18.5,16.5,25,TRUE,NA,14.5,18.5,NA,315,291,0.923809523809524
"RM","clayplain",0.04,3,15.5,NA,25,TRUE,NA,13.5,15.5,13.5,230,224,0.973913043478261
"RM","clayplain",0.05,3,14.5,NA,25,TRUE,NA,12.5,14.5,11.5,180,170,0.944444444444444
"RM","clayplain",0.06,3,14.5,NA,25,TRUE,NA,12.5,14.5,NA,161,146,0.906832298136646
"RM","granitictill",0.02,3,18.5,NA,25,TRUE,NA,15.5,18.5,15.5,345,315,0.91304347826087
"RM","granitictill",0.03,4,18.5,16.5,25,TRUE,NA,14.5,18.5,14.5,305,276,0.904918032786885
