"site","drate","spp","lev","weight"
"granitictill",0.02,"WP",3.4129664696328,0.45
"granitictill",0.02,"RM",2.91241332009318,0.25
"granitictill",0.02,"YB",35.1745640898576,0.3
"richnhw",0.02,"BM",6.35286108811992,0.6
"richnhw",0.02,"YB",62.6310422329349,0.35
"richnhw",0.02,"RM",3.9014293247035,0.05
"mountaintill",0.02,"BM",5.60423823313438,0.35
"mountaintill",0.02,"YB",43.680563675174,0.35
"mountaintill",0.02,"RM",2.69043183834383,0.3
"lowlandspfr",0.02,"RS",0.42400907417146,0.475
"lowlandspfr",0.02,"BF",0.391340403857467,0.475
"lowlandspfr",0.02,"RM",0.187036776842285,0.05
"clayplain",0.02,"SO",7.56461786265523,0.65
"clayplain",0.02,"WO",13.2074123685059,0.3
"clayplain",0.02,"BM",3.27849597749477,0.05
"granitictill",0.03,"WP",1.69094498777021,0.45
"granitictill",0.03,"RM",1.14177314284498,0.25
"granitictill",0.03,"YB",15.2646564995684,0.3
"richnhw",0.03,"BM",2.26614550866753,0.6
"richnhw",0.03,"YB",28.6018271174929,0.35
"richnhw",0.03,"RM",1.48209283763761,0.05
"mountaintill",0.03,"BM",1.98477617405016,0.35
"mountaintill",0.03,"YB",19.8112588355457,0.35
"mountaintill",0.03,"RM",1.01268602971642,0.3
"lowlandspfr",0.03,"RS",0.204801877837835,0.475
"lowlandspfr",0.03,"BF",0.189022486701349,0.475
"lowlandspfr",0.03,"RM",0.091442636210201,0.05
"clayplain",0.03,"SO",3.10743497360446,0.65
"clayplain",0.03,"WO",5.69937916395406,0.3
"clayplain",0.03,"BM",1.21845661037895,0.05
"granitictill",0.04,"WP",0.937005997683745,0.45
"granitictill",0.04,"RM",0.50703339341628,0.25
"granitictill",0.04,"YB",7.54256131663886,0.3
"richnhw",0.04,"BM",0.904066660892659,0.6
"richnhw",0.04,"YB",14.6968762864559,0.35
"richnhw",0.04,"RM",0.632939768811891,0.05
"mountaintill",0.04,"BM",0.791675385215231,0.35
"mountaintill",0.04,"YB",10.1798958153585,0.35
"mountaintill",0.04,"RM",0.433414495918792,0.3
"lowlandspfr",0.04,"RS",0.109337114732415,0.475
"lowlandspfr",0.04,"BF",0.100913006919968,0.475
"lowlandspfr",0.04,"RM",0.0506712513965089,0.05
"clayplain",0.04,"SO",1.41627857316259,0.65
"clayplain",0.04,"WO",2.81617321766217,0.3
"clayplain",0.04,"BM",0.495364199087926,0.05
"granitictill",0.05,"WP",0.554126230326904,0.45
"granitictill",0.05,"RM",0.245197508586236,0.25
"granitictill",0.05,"YB",3.91257277673885,0.3
"richnhw",0.05,"BM",0.387024317872795,0.6
"richnhw",0.05,"YB",8.22331202148667,0.35
"richnhw",0.05,"RM",0.294209988420538,0.05
"mountaintill",0.05,"BM",0.335819214330317,0.35
"mountaintill",0.05,"YB",5.58719689371569,0.35
"mountaintill",0.05,"RM",0.208332229790895,0.3
"lowlandspfr",0.05,"RS",0.06131228560756,0.475
"lowlandspfr",0.05,"BF",0.0565883516950023,0.475
"lowlandspfr",0.05,"RM",0.0295616192532635,0.05
"clayplain",0.05,"SO",0.686760768859068,0.65
"clayplain",0.05,"WO",1.47935819396822,0.3
"clayplain",0.05,"BM",0.215188705036433,0.05
"granitictill",0.06,"WP",0.346638242838318,0.45
"granitictill",0.06,"RM",0.126693865653213,0.25
"granitictill",0.06,"YB",2.16242872176704,0.3
"richnhw",0.06,"BM",0.173173917601499,0.6
"richnhw",0.06,"YB",4.74116375918524,0.35
"richnhw",0.06,"RM",0.146202377243678,0.05
"mountaintill",0.06,"BM",0.153801163323517,0.35
"mountaintill",0.06,"YB",3.22130734656571,0.35
"mountaintill",0.06,"RM",0.112018361972878,0.3
"lowlandspfr",0.06,"RS",0.0353496967834652,0.475
"lowlandspfr",0.06,"BF",0.0326261050957749,0.475
"lowlandspfr",0.06,"RM",0.017762947569435,0.05
"clayplain",0.06,"SO",0.35228024797317,0.65
"clayplain",0.06,"WO",0.817622273363741,0.3
"clayplain",0.06,"BM",0.09974684462169,0.05
