"spp","site","n","agree_crop","agree_noncrop","switch_to_crop","switch_to_noncrop","agreement_rate","scenario","factor_type","factor_value"
"BM","clayplain",3876,1015,2625,223,13,0.939112487100103,"mortality_0.4","mortality",0.4
"BM","granitictill",3876,917,2678,249,32,0.92750257997936,"mortality_0.4","mortality",0.4
"BM","mountaintill",3876,964,2645,215,52,0.931114551083591,"mortality_0.4","mortality",0.4
"BM","richnhw",3876,927,2668,230,51,0.92750257997936,"mortality_0.4","mortality",0.4
"PB","clayplain",3876,802,2722,315,37,0.909184726522188,"mortality_0.4","mortality",0.4
"PB","granitictill",3876,736,2793,278,69,0.91047471620227,"mortality_0.4","mortality",0.4
"PB","mountaintill",3876,577,2865,328,106,0.888028895768834,"mortality_0.4","mortality",0.4
"PB","richnhw",3876,568,2932,277,99,0.902992776057791,"mortality_0.4","mortality",0.4
"RM","clayplain",3876,1356,2213,264,43,0.920794633642931,"mortality_0.4","mortality",0.4
"RM","granitictill",3876,1295,2265,254,62,0.918472652218782,"mortality_0.4","mortality",0.4
"RM","mountaintill",3876,1213,2208,345,110,0.882610939112487,"mortality_0.4","mortality",0.4
"RM","richnhw",3876,1200,2262,305,109,0.893188854489164,"mortality_0.4","mortality",0.4
"SO","clayplain",3876,1350,2256,220,50,0.930340557275542,"mortality_0.4","mortality",0.4
"SO","granitictill",3876,1373,2213,215,75,0.925180598555212,"mortality_0.4","mortality",0.4
"SO","mountaintill",3876,1328,2153,283,112,0.898090815273478,"mortality_0.4","mortality",0.4
"SO","richnhw",3876,1333,2196,253,94,0.91047471620227,"mortality_0.4","mortality",0.4
"WO","clayplain",3876,1650,1949,207,70,0.928534571723426,"mortality_0.4","mortality",0.4
"WO","granitictill",3876,1703,1885,198,90,0.925696594427245,"mortality_0.4","mortality",0.4
"WO","mountaintill",3876,1677,1877,221,101,0.916924664602683,"mortality_0.4","mortality",0.4
"WO","richnhw",3876,1655,1907,221,93,0.918988648090815,"mortality_0.4","mortality",0.4
"WP","clayplain",3876,30,3750,48,48,0.975232198142415,"mortality_0.4","mortality",0.4
"WP","granitictill",3876,5,3816,47,8,0.985810113519092,"mortality_0.4","mortality",0.4
"WP","mountaintill",3876,0,3863,13,0,0.996646026831785,"mortality_0.4","mortality",0.4
"WP","richnhw",3876,0,3876,0,0,1,"mortality_0.4","mortality",0.4
"YB","clayplain",1026,700,265,59,2,0.940545808966862,"mortality_0.4","mortality",0.4
"YB","granitictill",1026,539,440,46,1,0.954191033138402,"mortality_0.4","mortality",0.4
"YB","mountaintill",1026,546,432,48,0,0.953216374269006,"mortality_0.4","mortality",0.4
