"spp","site","n_trees","n_crop","prop_crop","max_crop_dbh","mean_crop_dbh","dbh_50pct","effective_dbh_threshold","scenario","factor_type","factor_value","base_dbh","base_prop_crop","base_mean_crop_dbh","dbh_shift","dbh_pct_change","prop_crop_change","mean_crop_dbh_shift"
"BM","clayplain",912,282,0.309210526315789,17,12.6595744680851,10,10,"mortality_0.4","mortality",0.4,10,0.256578947368421,12.3034188034188,0,0,0.0526315789473684,0.356155664666302
"BM","granitictill",912,264,0.289473684210526,18,12.6818181818182,10,10,"mortality_0.4","mortality",0.4,10,0.235745614035088,12.4511627906977,0,0,0.0537280701754386,0.230655391120507
"BM","mountaintill",912,265,0.290570175438596,18,12.8301886792453,10,10,"mortality_0.4","mortality",0.4,10,0.25219298245614,12.6608695652174,0,0,0.0383771929824561,0.169319114027893
"BM","richnhw",912,259,0.283991228070175,18,12.8918918918919,10,10,"mortality_0.4","mortality",0.4,10,0.239035087719298,12.8256880733945,0,0,0.0449561403508772,0.0662038184973959
"PB","clayplain",912,247,0.270833333333333,18,12.8421052631579,10,10,"mortality_0.4","mortality",0.4,10,0.200657894736842,12.5464480874317,0,0,0.0701754385964912,0.295657175726202
"PB","granitictill",912,222,0.243421052631579,19,13.1351351351351,10,10,"mortality_0.4","mortality",0.4,11,0.191885964912281,13.0342857142857,-1,-9.09090909090909,0.0515350877192982,0.100849420849421
"PB","mountaintill",912,195,0.213815789473684,19,13.6102564102564,13,13,"mortality_0.4","mortality",0.4,28,0.161184210526316,13.5646258503401,-15,-53.5714285714286,0.0526315789473684,0.0456305599162743
"PB","richnhw",912,179,0.196271929824561,18,13.5307262569832,28,28,"mortality_0.4","mortality",0.4,28,0.152412280701754,13.568345323741,0,0,0.043859649122807,-0.0376190667577667
"RM","clayplain",912,364,0.399122807017544,20,13.6043956043956,10,10,"mortality_0.4","mortality",0.4,10,0.341008771929825,13.1768488745981,0,0,0.0581140350877193,0.427546729797534
"RM","granitictill",912,345,0.378289473684211,20,13.5971014492754,10,10,"mortality_0.4","mortality",0.4,10,0.330043859649123,13.328903654485,0,0,0.0482456140350877,0.268197794790312
"RM","mountaintill",912,342,0.375,20,13.9736842105263,10,10,"mortality_0.4","mortality",0.4,10,0.316885964912281,13.8304498269896,0,0,0.0581140350877193,0.143234383536695
"RM","richnhw",912,327,0.358552631578947,20,13.9051987767584,10,10,"mortality_0.4","mortality",0.4,10,0.308114035087719,13.7580071174377,0,0,0.0504385964912281,0.147191659320686
"SO","clayplain",912,358,0.392543859649123,20,13.4245810055866,10,10,"mortality_0.4","mortality",0.4,10,0.350877192982456,13.06875,0,0,0.0416666666666667,0.355831005586593
"SO","granitictill",912,362,0.396929824561404,20,13.5303867403315,10,10,"mortality_0.4","mortality",0.4,10,0.361842105263158,13.3212121212121,0,0,0.0350877192982456,0.209174619119372
"SO","mountaintill",912,367,0.402412280701754,21,13.7738419618529,10,10,"mortality_0.4","mortality",0.4,10,0.359649122807018,13.6707317073171,0,0,0.0427631578947368,0.103110254535789
