"factor_type","factor_value","mean_agreement","mean_switch_to_crop","mean_switch_to_noncrop"
"lev",0.5,0.935948940979901,0.0473211214310286,0.0167299375890707
"lev",0.75,0.942480793486985,0.0366316117090111,0.0208875948040035
"lev",1.25,0.938620038658738,0.0228901502121316,0.03848981112913
"lev",1.5,0.931437048503612,0.0191164184972234,0.0494465329991646
"mortality",0.4,0.93113809851426,0.0545409684341573,0.0143209330515832
"mortality",0.8,0.929332112962144,0.014505217291595,0.0561626697462611
"mortality",1,0.902874015103117,0.00758124887381853,0.0895447360230642
"price",0.5,0.912959482038429,0.0132377512408472,0.0738027667207234
"price",0.75,0.936571412190607,0.0213698052320343,0.0420587825773584
"price",1.5,0.941080233262896,0.0395187314691959,0.0194010352679083
"price",2,0.935948940979901,0.0473211214310286,0.0167299375890707
