"factor_type","factor_value","n_spp_site","mean_prop_crop","mean_prop_crop_change","mean_dbh_shift","mean_mean_crop_dbh"
"base",1,28,0.308035714285714,0,0,13.4003988872276
"lev",0.5,28,0.339833959899749,0.0317982456140351,0.678571428571429,13.1881866676711
"lev",0.75,28,0.324300334168755,0.0162646198830409,0.892857142857143,13.1681785796371
"lev",1.25,28,0.291940789473684,-0.0160949248120301,0.678571428571429,13.4454580208128
"lev",1.5,28,0.276929302422723,-0.0311064118629908,-0.0357142857142857,13.6277344409517
"mortality",0.4,28,0.347313596491228,0.0392778822055138,0.428571428571429,13.4883689008068
"mortality",0.8,28,0.267269736842105,-0.040765977443609,0.75,13.2083071827653
"mortality",1,28,0.228670634920635,-0.0793650793650794,0.535714285714286,13.1501514668165
"price",0.5,28,0.246828007518797,-0.0612077067669173,3.14285714285714,13.7420117703434
"price",0.75,28,0.286706349206349,-0.0213293650793651,-0.178571428571429,13.6034507517659
"price",1.5,28,0.328973475355054,0.02093776106934,0.785714285714286,13.1713541156737
"price",2,28,0.339833959899749,0.0317982456140351,0.678571428571429,13.1881866676711
